"location_id","region","locationPeriod_id","admin_level"
"10356","CT-World::EMR::AFG::AF-KNR::KhasKunar","10162","admin2"
"10357","CT-World::AFR::COD::Sud-Kivu::Kalonge","3305","admin2"
"10358","CT-World::AFR::SEN::Kaolack::Kaffrine::Birkelane","5887","admin3"
"10359","CT-World::EMR::PAK::PK-TA::FrontierregionBannu","108","admin2"
"1036","CT-World::AFR::MLI::ML-1::Diema::Diema","4420","admin3"
"10361","CT-World::EMR::AFG::AF-PAR::ShekhAli","8111","admin2"
"10362","CT-World::EMR::PAK::PK-SD::Matiari","5068","admin2"
"10363","CT-World::AFR::BDI::BI-MY::Muyinga::Ruganirwa","6881","admin3"
"10364","CT-World::AFR::COD::Katanga::Kambove","6169","admin2"
"10365","CT-World::AFR::BDI::BI-NG::Gashikanwa::Buhoro","11121","admin3"
"10366","CT-World::AFR::BDI::BI-NG::Marangara::Bihangare","2429","admin3"
"10367","CT-World::EMR::YEM::Al Mahrah::Hat","6549","admin2"
"10369","CT-World::AFR::GNB::GW-CA::Canghungo","5953","admin2"
"1037","CT-World::AFR::MLI::ML-1::Diema::Diema::Dianguirde","10165","admin4"
"10370","CT-World::AFR::CMR::Centre::Mbam-et-Kim::Ngambe Tikar","2586","admin3"
"10371","CT-World::AFR::BFA::BF-KAD::Kadiogo::Sandogo","8854","admin3"
"10372","CT-World::AFR::BDI::BI-GI::Buraza::Buraza","7752","admin3"
"10375","CT-World::AFR::UGA::UG-202::Samia-Bugwe::Busitema::Tiira","2913","admin4"
"10377","CT-World::AFR::ETH::ET-OR::HoroGuduru::AbayChomen","6096","admin3"
"10378","CT-World::AFR::BDI::BI-MY::Gasorwe::Martyazo","6867","admin3"
"10379","CT-World::AFR::ETH::ET-SN::BenchMaji::Sheka","4404","admin3"
"10380","CT-World::AFR::GIN::GN-D::Kindia","10686","admin2"
"10381","CT-World::EUR::SWE","2876","admin0"
"10382","CT-World::AFR::ETH::ET-DD::DireDawa::DireDawa","1704","admin3"
"10384","CT-World::AFR::MOZ::Niassa::Cuamba","2808","admin2"
"10387","CT-World::AFR::SSD::SS-EC::Morobo","755","admin2"
"10388","CT-World::AFR::MDG::MG-A::Analanjirofo::Maroansetra","8201","admin3"
